SalesOrderID,OrderDate,CustomerID,SalesPersonID,TerritoryID,SubTotal,TotalDue,,,,,,
43659,31/05/2011,29825,279,5,20565.6206,23153.2339,,,,,,
43660,31/05/2011,29672,279,5,1294.2529,1457.3288,,,,,,
43661,31/05/2011,29734,282,6,32726.4786,36865.8012,,,,,,
43662,31/05/2011,29994,282,6,28832.5289,32474.9324,,,,,,
43663,31/05/2011,29565,276,4,419.4589,472.3108,,,,,,
43664,31/05/2011,29898,280,1,24432.6088,27510.4109,,,,,,
43665,31/05/2011,29580,283,1,14352.7713,16158.6961,,,,,,
43666,31/05/2011,30052,276,4,5056.4896,5694.8564,,,,,,
43667,31/05/2011,29974,277,3,6107.082,6876.3649,,,,,,
43668,31/05/2011,29614,282,6,35944.1562,40487.7233,,,,,,
43669,31/05/2011,29747,283,1,714.7043,807.2585,,,,,,
43670,31/05/2011,29566,275,3,6122.082,6893.2549,,,,,,
43671,31/05/2011,29890,283,1,8128.7876,9153.6054,,,,,,
43672,31/05/2011,30067,282,6,6124.182,6895.41,,,,,,
43673,31/05/2011,29844,275,2,3746.2015,4216.0258,,,,,,
43674,31/05/2011,29596,282,6,2624.382,2955.0542,,,,,,
43675,31/05/2011,29827,277,3,5716.3102,6434.0848,,,,,,
43676,31/05/2011,29811,275,5,14203.458,15992.7446,,,,,,
43677,31/05/2011,29824,278,6,7793.1108,8773.681,,,,,,
43678,31/05/2011,29889,281,4,9799.9243,11036.3964,,,,,,
43679,31/05/2011,29761,278,6,1316.0575,1481.1742,,,,,,
43680,31/05/2011,29489,281,4,11397.4992,12832.9009,,,,,,
43681,31/05/2011,29661,279,5,13787.5434,15524.0686,,,,,,
43682,31/05/2011,29759,275,2,3875.7229,4363.7107,,,,,,
43683,31/05/2011,29497,283,1,42813.4333,48204.0662,,,,,,
43684,31/05/2011,29912,279,5,5596.4705,6301.6258,,,,,,
43685,31/05/2011,30084,279,5,2736.5678,3082.0191,,,,,,
43686,31/05/2011,29606,283,1,3463.2998,3899.6756,,,,,,
43687,31/05/2011,29610,275,2,1258.3767,1416.9322,,,,,,
43688,31/05/2011,29718,275,2,12718.0844,14323.1194,,,,,,
43689,31/05/2011,29646,277,4,33997.3702,38291.2063,,,,,,
43690,31/05/2011,29533,275,3,1297.5901,1460.6061,,,,,,
